woods	0	34
woody	32	36
replaces	4	3
screaming	173	53
grueling	5	7
inevitably	31	45
mark_wahlberg	9	1
kids	37	20
uplifting	15	60
controversy	19	28
kida	5	3
the_crown	7	16
rebel	44	66
trelkovsky	0	21
violently	10	8
john_hurt	5	19
barbra	12	15
dinosaurs	7	3
wrong	1123	636
welcomed	15	16
fit	302	386
wooden	239	44
abbott	3	6
richard_brooks	3	7
the_united_states	4	8
purpose	295	204
the_council	0	5
john_candy	6	9
needed	373	278
master	138	223
positively	28	22
scene_stealer	0	9
the_proverbial	3	3
the_templars	5	0
reverence	2	8
lex_luger	0	5
tempted	35	20
patch	18	13
ebert's	1	4
ira	3	25
wage	2	5
extend	6	11
nature	232	454
extent	76	80
humming	6	8
smackdown	1	5
richie's	5	0
arkin	1	7
professionally	14	12
fast_forwarding	28	1
zeon	0	6
to_make	5	0
spotty	4	2
stillness	2	4
corporate	25	34
advancement	10	13
indicative	12	7
the_elm_street	4	1
crowd	98	150
crowe	1	12
marshall	11	8
despised	11	10
on_elm_street	21	14
raped	85	37
congratulations	7	9
passenger	33	41
during_world_war_ii	2	3
chain	53	60
whoever	118	60
the_chamberlains	0	8
chair	92	76
ballet	20	57
macho	22	21
jerk	94	44
gloomy	18	21
exact	103	73
minute	2514	1089
his_stepfather	4	1
rapping	9	2
antwerp	6	3
ground	188	177
unintentionally	107	27
cusack	21	14
american_pie	42	14
jean_seberg	3	2
the_mother	11	23
following	240	285
thanking	2	4
fueled	2	6
harmon	5	0
surfing	35	43
kiki	4	9
impactful	1	7
in_hawaii	3	2
jim	43	60
instability	3	3
quarter	26	15
quartet	5	11
rajni	10	0
the_elder	6	9
all_topped	2	3
to_switch	5	2
quibble	3	28
spoken	79	83
about_$1	4	2
absorbs	1	4
rehab	5	3
sumptuous	1	17
turned	506	392
fairy_tale	2	5
uninterrupted	5	6
fashionable	9	10
opposite	104	150
squalor	6	11
pintilie	9	0
touchy	3	5
inconsistent	52	14
imagined	49	59
justified	29	27
dietrich's	3	2
enthralled	7	24
cannonball_run	3	2
mediocrity	5	2
millionaire	25	24
fix	46	43
allowance	3	2
article	22	28
pearl_buck	1	7
collides	3	3
unlikeable	55	7
advertisement	27	15
being	2966	2831
traffic	33	18
sensitively	2	13
with	20777	23073
abused	30	32
tripe	61	6
creak	8	1
brotherhood	4	5
tricky	9	15
natalie	7	4
thorn	1	11
the_soviets	4	2
new_best_friend	6	0
nora	10	8
norm	27	27
sans	9	13
sang	13	27
sand	21	13
sane	23	17
abbreviated	1	4
prevailed	4	2
leia	4	16
for_£1	6	1
portrays	61	139
the_butler	1	4
traumatized	12	11
morbius	2	7
more	6279	7091
initiated	4	5
company	240	261
dorothy_lamour	3	4
learn	317	387
barclay	1	4
meaner	1	6
huge	454	368
hugo	3	4
hugh	5	3
dismissed	4	7
scifi	18	2
brett	7	4
the_heavenly	0	6
gesture	22	45
national_lampoon_goes	6	0
bendix	1	5
bummer	6	1
gadget	44	17
document	28	46
everytime	4	4
shocking	158	171
the_british	6	5
gilberte	0	6
lipstick	12	3
research	112	60
the_shield	11	6
cindy	6	7
terrifyingly	4	5
paul's	6	13
many_occasion	1	4
the_eyeball	6	1
blond	52	25
understands	21	49
christmas_eve	13	15
streep's	2	5
blended	8	16
director's	120	106
lombard	2	11
secular	7	5
distraction	34	26
jon_pertwee	3	10
tanked	4	1
political_agenda	4	1
cape_fear	17	5
collectively	5	8
the_prospect	5	2
bell	31	22
bela	5	9
viggo_mortensen	11	7
the_same	17	15
ham_fisted	14	2
couple	903	795
samantha_eggar	5	0
behave	62	28
assisted	3	6
get_rid	8	13
to_generate	8	1
flabby	5	1
tasting	5	2
von_trier	2	27
eddie	38	60
erica	7	2
chan's	1	23
influence	77	164
haunt	15	35
conjure	5	3
in_obtaining	1	4
the_dodo	2	3
venturing	3	3
show's	34	56
totally_engrossed	0	5
malefique	1	7
disheveled	1	4
fall_asleep	42	15
the_funniest	10	26
victor	14	49
flowing	15	20
maker	391	221
de_sade	5	3
rode	2	11
and_shoulder	2	9
akane	0	5
comedy	1537	1819
