	12500	12500	
(17, 30, 4, 16)	0	4	4	
(27, 4, 17)	0	1	1	
(18, 8, 30, 21)	4	4	0	
(4, 30, 11, 8)	0	1	1	
(9, 0)	3	1	-2	
(12, 19, 30, 4)	0	1	1	
(27, 27, 3, 3)	0	1	1	
(17, 30, 17, 23)	1	1	0	
(12, 30, 17, 27)	1	0	-1	
(30, 12, 25, 8)	1	0	-1	
(10, 7, 30)	9	6	-3	
(0, 7, 4)	1	4	3	
(17, 30, 13, 10)	1	0	-1	
(22, 30, 17, 1)	7	0	-7	
(18, 13, 16)	1	0	-1	
(4, 30, 3, 14)	2	2	0	
(9, 30, 4, 4)	0	1	1	
(28, 14, 30, 17)	0	1	1	
(30, 21, 21, 24)	1	0	-1	
(21, 28, 30, 4)	0	2	2	
(4, 30, 2, 2)	8	16	8	
(5, 21, 30, 1)	9	2	-7	
(8, 30, 22, 17)	0	1	1	
(26, 30, 21)	220	219	-1	
(27, 18, 8, 4)	0	1	1	
(19, 2, 21)	3	3	0	
(13, 13)	2	3	1	
(19, 30, 17, 13)	0	2	2	
(25, 30, 12, 9)	1	0	-1	
(17, 30, 10, 4)	2	1	-1	
(2, 20, 30)	1	0	-1	
(30, 18, 28)	6	18	12	
(27, 30, 22, 22)	3	6	3	
(14, 12, 30, 9)	1	0	-1	
(1, 30, 4, 24)	5	0	-5	
(17, 17, 30, 24)	1	1	0	
(18, 11, 30, 7)	2	1	-1	
(4, 30, 5, 12)	1	0	-1	
(17, 30, 6, 17)	4	1	-3	
(21, 4, 27, 3)	1	0	-1	
(4, 19, 30)	41	18	-23	
(7, 30, 16, 23)	1	0	-1	
(30, 3, 21, 14)	6	3	-3	
(3, 22, 22)	1	0	-1	
(12, 30, 0, 21)	17	21	4	
(12, 21, 4)	2	1	-1	
(23, 0, 30, 18)	1	0	-1	
(7, 12, 21, 30)	3	0	-3	
(27, 30, 3, 21)	19	27	8	
(6, 8, 30)	2	1	-1	
(22, 4, 17)	0	1	1	
(19, 30, 10, 17)	3	2	-1	
(7, 17, 30, 1)	0	2	2	
(8, 21, 30, 8)	13	3	-10	
(11, 17, 30, 2)	1	3	2	
(14, 10, 30)	3	2	-1	
(22, 30, 19, 2)	0	1	1	
(7, 8, 8, 30)	1	1	0	
(9, 30, 6, 5)	0	1	1	
(30, 7, 4, 27)	1	0	-1	
(30, 25, 17, 0)	7	12	5	
(18, 0, 3, 16)	0	2	2	
(19, 2, 30, 21)	9	12	3	
(21, 0, 30, 19)	3	4	1	
(17, 0, 15)	0	2	2	
(21, 24, 30, 25)	1	0	-1	
(7, 3, 2, 30)	1	0	-1	
(21, 30, 25)	2220	2232	12	
(17, 18, 30, 12)	5	5	0	
(13, 30, 2)	13	15	2	
(25, 11, 30, 21)	1	2	1	
(30, 17, 22, 24)	1	0	-1	
(17, 19, 17)	1	1	0	
(4, 30, 27, 21)	5	8	3	
(19, 6)	3	9	6	
(12, 1, 3, 17)	1	0	-1	
(6, 7, 30)	2	4	2	
(30, 11, 11, 11)	1	0	-1	
(17, 21, 30, 27)	3	2	-1	
(1, 4, 25, 30)	2	0	-2	
(12, 13, 17, 17)	0	1	1	
(0, 30, 0, 27)	0	1	1	
(3, 4, 30, 12)	0	2	2	
(6, 2, 30, 6)	3	4	1	
(30, 12, 21, 10)	1	0	-1	
(1, 4, 21)	54	13	-41	
(30, 2, 30, 28)	10	15	5	
(17, 0, 21)	14	23	9	
(17, 30, 9, 8)	1	0	-1	
(30, 13, 21, 17)	1	1	0	
(30, 11, 0, 3)	1	2	1	
(12, 30, 9, 2)	1	0	-1	
(17, 8, 17)	0	1	1	
(27, 30, 10, 22)	1	0	-1	
(27, 17, 4)	2	0	-2	
(27, 27, 30, 21)	8	13	5	
(30, 17, 7, 24)	0	1	1	
(17, 30, 26, 25)	2	1	-1	
(4, 21, 21, 18)	0	2	2	
(30, 13, 21, 30)	128	119	-9	
(27, 30, 6, 3)	1	1	0	
(30, 4, 16, 18)	1	0	-1	
(1, 3, 12, 0)	1	0	-1	
(22, 30, 4, 7)	1	1	0	
(30, 18, 19)	11	4	-7	
(1, 17, 17)	4	1	-3	
(1, 30, 0, 6)	3	1	-2	
(21, 10, 30, 22)	0	1	1	
(4, 2, 30, 18)	1	1	0	
(4, 18, 7, 4)	0	1	1	
(16, 30, 16, 30)	23	11	-12	
(3, 11, 30, 4)	3	0	-3	
(11, 28)	6	2	-4	
(30, 2, 22)	1	1	0	
(0, 21, 21, 17)	0	1	1	
(19, 30, 18, 8)	0	1	1	
(17, 30, 11, 27)	1	4	3	
(4, 21, 2, 30)	2	0	-2	
(9, 4, 17, 30)	0	2	2	
